Code,DisplayName,Description
0,Clear,This is the glass color
1,Frosted,This is the glass color
2,Smoked,This is the glass color
3,Rain Glass,This is the glass color
4,P516 Obscure,This is the glass color
5,Bubble,This is the glass color
6,Acid Etched,This is the glass color
7,Water ( Flemish ),This is the glass color
8,Reeded Glass,This is the glass color
9,Mirror,This is the glass color
