Code,DisplayName,Description
2,Solid Color Smooth Finish,Solid Color Smooth Finish
3,Grain Pattern Smooth Finish,Grain Pattern Smooth Finish
4,Solid Color Textured Finish,Solid Color Textured Finish
5,Grain Pattern Textured Finish,Grain Pattern Textured Finish
6,Linen Pattern Linen Finish,Linen Pattern Linen Finish
7,Solid Color Matte Finish,Solid Color Matte Finish
1,Garage Material,Garage Material
9,Oversized Material,Oversized Material
10,Upgrade Options,Upgrade Options
