DisplayName,MaxLength
Oxford White (Frost),3027
Cabinet Almond (Cafe Au Lait),3027
Δ CL Cool Grey Linen,2768
Δ CL Khaki Linen,2768
Δ CL Lakeshore Oak,2768
Δ CL Rialto,2768
Δ CL Rustic Oak,2768
Δ S Antracite Linen,2768
Δ S Canyon Bleach,2768
Δ S Lakeshore Oak,2768
Δ S Maranello,2768
Δ S Palisandro Azuro,2768
Δ S Panna,2768
Δ S Rustic Oak,2768
ALDER CLR VEN A1 PS PB BM2,3027
MDF 4X10-3/4,3027
